1,1024,879.609,347.947,2.528,,,,,,,,,,,,,,,,
1,2048,1172.81,348.885,3.3616,,,,,,,,,,,,,,,,
1,4096,830.29,206.52,4.02039,,,,,,,,,,,,,,,,
1,8192,1567.09,347.947,4.50383,,,,,,,,,,,,,,,,
1,16384,932.778,190.416,4.89862,,,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
1,32768,1643.59,344.729,4.76779,,1,2.528,3.3616,4.02039,4.50383,4.89862,4.76779,4.72209,4.74971,4.80944,4.75151,4.81552,3.48433,2.81571,2.79849
1,65536,1629.13,345.002,4.72209,,2,1.05272,2.02445,2.52871,5.12277,3.66914,3.79904,4.53979,5.26489,5.71526,6.97479,4.63439,4.73862,4.67615,2.79159
1,131072,1638.94,345.062,4.74971,,4,2.11704,3.94338,6.21117,8.2944,10.3162,7.39079,16.6001,15.5078,12.1798,13.9746,9.10289,10.4746,5.8207,5.97783
1,262144,1654.6,344.031,4.80944,,8,1.66896,3.01752,4.5679,6.32741,9.22434,12.5187,19.4796,18.4612,16.9505,17.3597,14.0525,11.856,4.35175,8.19697
1,524288,1624.85,341.965,4.75151,,,,,,,,,,,,,,,,
1,1048576,1651.04,342.858,4.81552,,,,,,,,,,,,,,,,
1,2097152,1182.47,339.368,3.48433,,,,,,,,,,,,,,,,
1,4194304,953.87,338.767,2.81571,,,,,,,,,,,,,,,,
1,8388608,949.135,339.16,2.79849,,,,,,,,,,,,,,,,
2,1024,353.427,335.729,1.05272,,,,,,,,,,,,,,,,
2,2048,647.724,319.951,2.02445,,,,,,,,,,,,,,,,
2,4096,850.193,336.216,2.52871,,,,,,,,,,,,,,,,
2,8192,1026.5,200.38,5.12277,,,,,,,,,,,,,,,,
2,16384,1210.08,329.8,3.66914,,,,,,,,,,,,,,,,
2,32768,1317.17,346.712,3.79904,,,,,,,,,,,,,,,,
2,65536,1525.05,335.929,4.53979,,,,,,,,,,,,,,,,
2,131072,1734.27,329.402,5.26489,,,,,,,,,,,,,,,,
2,262144,1969.93,344.678,5.71526,,,,,,,,,,,,,,,,
2,524288,2377.42,340.859,6.97479,,,,,,,,,,,,,,,,
2,1048576,1582.27,341.419,4.63439,,,,,,,,,,,,,,,,
2,2097152,1620.55,341.989,4.73862,,,,,,,,,,,,,,,,
2,4194304,1587.78,339.549,4.67615,,,,,,,,,,,,,,,,
2,8388608,941.729,337.345,2.79159,,,,,,,,,,,,1,2,4,8,
4,1024,275.567,130.166,2.11704,,,,,,,,,,,1024,2.528,1.05272,2.11704,1.66896,
4,2048,512.354,129.928,3.94338,,,,,,,,,,,2048,3.3616,2.02445,3.94338,3.01752,
4,4096,808.316,130.139,6.21117,,,,,,,,,,,4096,4.02039,2.52871,6.21117,4.5679,
4,8192,1140.28,137.475,8.2944,,,,,,,,,,,8192,4.50383,5.12277,8.2944,6.32741,
4,16384,1445.42,140.112,10.3162,,,,,,,,,,,16384,4.89862,3.66914,10.3162,9.22434,
4,32768,2343.59,317.096,7.39079,,,,,,,,,,,32768,4.76779,3.79904,7.39079,12.5187,
4,65536,2987.42,179.964,16.6001,,,,,,,,,,,65536,4.72209,4.53979,16.6001,19.4796,
4,131072,3290.41,212.178,15.5078,,,,,,,,,,,131072,4.74971,5.26489,15.5078,18.4612,
4,262144,3760.42,308.743,12.1798,,,,,,,,,,,262144,4.80944,5.71526,12.1798,16.9505,
4,524288,4486.59,321.054,13.9746,,,,,,,,,,,524288,4.75151,6.97479,13.9746,17.3597,
4,1048576,2965.3,325.754,9.10289,,,,,,,,,,,1048576,4.81552,4.63439,9.10289,14.0525,
4,2097152,3479.95,332.227,10.4746,,,,,,,,,,,2097152,3.48433,4.73862,10.4746,11.856,
4,4194304,1955.1,335.888,5.8207,,,,,,,,,,,4194304,2.81571,4.67615,5.8207,4.35175,
4,8388608,2003.78,335.201,5.97783,,,,,,,,,,,8388608,2.79849,2.79159,5.97783,8.19697,
8,1024,252.239,151.136,1.66896,,,,,,,,,,,,,,,,
8,2048,423.378,140.306,3.01752,,,,,,,,,,,,,,,,
8,4096,593.128,129.847,4.5679,,,,,,,,,,,,,,,,
8,8192,953.299,150.662,6.32741,,,,,,,,,,,,,,,,
8,16384,1283.45,139.137,9.22434,,,,,,,,,,,,,,,,
8,32768,2254.69,180.105,12.5187,,,,,,,,,,,,,,,,
8,65536,3892.72,199.836,19.4796,,,,,,,,,,,,,,,,
8,131072,4650.63,251.914,18.4612,,,,,,,,,,,,,,,,
8,262144,4999.02,294.919,16.9505,,,,,,,,,,,,,,,,
8,524288,5122.8,295.097,17.3597,,,,,,,,,,,,,,,,
8,1048576,4285.47,304.962,14.0525,,,,,,,,,,,,,,,,
8,2097152,3548.56,299.304,11.856,,,,,,,,,,,,,,,,
8,4194304,1446.38,332.367,4.35175,,,,,,,,,,,,,,,,
8,8388608,2702.19,329.657,8.19697,,,,,,,,,,,,,,,,
